code,brk_height,brk_tt_len,longhu_dis,xt_start,xt_end,brk_end,stage,date
39e4b41aaad1cde84d96b33d27948c3f,18.73,3,0,2018-03-02,2018-03-19,2018-03-22,5,2018-03-20
39e4b41aaad1cde84d96b33d27948c3f,6.86,3,-1,2018-04-17,2018-05-03,2018-05-08,5,2018-05-04
39e4b41aaad1cde84d96b33d27948c3f,4.18,3,-1,2018-06-19,2018-07-19,2018-07-24,5,2018-07-20
e7585c2a015226f3c6d72baf89001b10,9.97,1,0,2018-03-27,2018-04-10,2018-04-11,5,2018-04-11
e7585c2a015226f3c6d72baf89001b10,5.51,3,-1,2018-04-11,2018-05-07,2018-05-10,5,2018-05-08
e7585c2a015226f3c6d72baf89001b10,4.66,2,-1,2018-06-19,2018-07-25,2018-07-27,5,2018-07-26
67cbc2fb034bc8e08ce8ba6efd12bfd8,10.41,2,-1,2018-02-14,2018-03-05,2018-03-07,5,2018-03-06
67cbc2fb034bc8e08ce8ba6efd12bfd8,12.1,2,1,2018-03-07,2018-03-21,2018-03-23,5,2018-03-22
67cbc2fb034bc8e08ce8ba6efd12bfd8,4.6,2,-1,2018-04-17,2018-05-04,2018-05-08,5,2018-05-07
67cbc2fb034bc8e08ce8ba6efd12bfd8,4.54,1,-1,2018-05-30,2018-06-13,2018-06-14,5,2018-06-14
67cbc2fb034bc8e08ce8ba6efd12bfd8,3.74,1,-1,2018-06-19,2018-07-26,2018-07-27,5,2018-07-27
04e42992b605cd4b94d5aa72465203a4,7.24,4,-1,2018-02-13,2018-03-07,2018-03-13,5,2018-03-08
04e42992b605cd4b94d5aa72465203a4,11.04,3,0,2018-03-13,2018-04-23,2018-04-26,5,2018-04-24
04e42992b605cd4b94d5aa72465203a4,4.13,2,-1,2018-04-26,2018-05-22,2018-05-24,5,2018-05-23
04e42992b605cd4b94d5aa72465203a4,5.93,3,-1,2018-06-21,2018-07-12,2018-07-17,5,2018-07-13
66c3178f70fcc2975d38d45a6c9a0c02,4.01,2,-1,2018-02-26,2018-03-08,2018-03-12,5,2018-03-09
66c3178f70fcc2975d38d45a6c9a0c02,3.06,1,-1,2018-03-23,2018-04-10,2018-04-11,5,2018-04-11
66c3178f70fcc2975d38d45a6c9a0c02,28.17,3,1,2018-06-27,2018-07-12,2018-07-17,5,2018-07-13
557a34a1e29af04318198b090c0b38ab,5.26,3,-1,2018-02-26,2018-03-07,2018-03-12,5,2018-03-08
557a34a1e29af04318198b090c0b38ab,5.0,1,-1,2018-06-19,2018-07-02,2018-07-03,5,2018-07-03
557a34a1e29af04318198b090c0b38ab,11.9,2,-1,2018-07-05,2018-07-13,2018-07-17,5,2018-07-16
557a34a1e29af04318198b090c0b38ab,5.69,3,-1,2018-07-17,2018-07-25,2018-07-30,5,2018-07-26
1a02406afde1583c827c84dfc5192a98,5.01,3,-1,2018-02-27,2018-03-08,2018-03-13,5,2018-03-09
1a02406afde1583c827c84dfc5192a98,10.06,1,0,2018-03-13,2018-03-26,2018-03-27,5,2018-03-27
1a02406afde1583c827c84dfc5192a98,4.44,1,-1,2018-04-02,2018-04-13,2018-04-16,5,2018-04-16
1a02406afde1583c827c84dfc5192a98,3.44,1,-1,2018-05-14,2018-05-22,2018-05-23,5,2018-05-23
1a02406afde1583c827c84dfc5192a98,5.49,1,-1,2018-06-19,2018-06-28,2018-06-29,5,2018-06-29
1a02406afde1583c827c84dfc5192a98,6.16,2,-1,2018-06-29,2018-07-13,2018-07-17,5,2018-07-16
11b7300ff2d3e0cd5c74741199336f92,7.88,2,-1,2018-06-21,2018-07-20,2018-07-24,5,2018-07-23
11b7300ff2d3e0cd5c74741199336f92,3.26,1,-1,2018-07-24,2018-08-06,2018-08-07,5,2018-08-07
20a9891f094cc7f9f98c945fa62ebdce,2.81,4,-1,2018-02-14,2018-04-12,2018-04-18,5,2018-04-13
0dcc186552dcebfca38be759b8dbbcdc,82.84,8,2,2018-02-13,2018-03-08,2018-03-22,5,2018-03-09
0dcc186552dcebfca38be759b8dbbcdc,6.15,3,-1,2018-06-19,2018-07-20,2018-07-25,5,2018-07-23
f7152b27bbf546adcd0047b954fe5168,3.8,1,-1,2018-02-26,2018-03-26,2018-03-27,5,2018-03-27
f7152b27bbf546adcd0047b954fe5168,3.9,2,-1,2018-04-17,2018-05-04,2018-05-08,5,2018-05-07
f7152b27bbf546adcd0047b954fe5168,15.05,5,-1,2018-06-19,2018-07-11,2018-07-18,5,2018-07-12
683bf80d0696a9c4534eb8742612741a,8.39,2,-1,2018-02-13,2018-03-02,2018-03-06,5,2018-03-05
683bf80d0696a9c4534eb8742612741a,9.92,1,0,2018-07-06,2018-07-24,2018-07-25,5,2018-07-25
720b8d39b616f102e63015de011a499b,5.15,3,-1,2018-02-13,2018-02-28,2018-03-05,5,2018-03-01
720b8d39b616f102e63015de011a499b,10.01,1,0,2018-03-05,2018-05-07,2018-05-08,5,2018-05-08
720b8d39b616f102e63015de011a499b,2.3,3,-1,2018-07-11,2018-07-23,2018-07-26,5,2018-07-24
0532ab1a4dbeae9a1eeb44823cb7d7cf,2.84,3,-1,2018-02-13,2018-03-08,2018-03-13,5,2018-03-09
0532ab1a4dbeae9a1eeb44823cb7d7cf,5.51,3,-1,2018-06-19,2018-07-23,2018-07-26,5,2018-07-24
3c5aa37c1421f70bce59985f38220fba,4.3,1,-1,2018-02-13,2018-03-09,2018-03-12,5,2018-03-12
3c5aa37c1421f70bce59985f38220fba,4.56,3,-1,2018-03-12,2018-05-31,2018-06-05,5,2018-06-01
b3270088547ca933bb4a0d23a0a76481,6.21,1,-1,2018-02-26,2018-03-07,2018-03-08,5,2018-03-08
b3270088547ca933bb4a0d23a0a76481,7.0,2,-1,2018-06-21,2018-07-06,2018-07-10,5,2018-07-09
b3270088547ca933bb4a0d23a0a76481,19.38,3,1,2018-07-10,2018-07-20,2018-07-25,5,2018-07-23
b3270088547ca933bb4a0d23a0a76481,6.39,2,-1,2018-07-25,2018-08-06,2018-08-08,5,2018-08-07
ccc318e38d283ad65b9c3f2a2ea87914,5.1,1,-1,2018-02-26,2018-03-15,2018-03-16,5,2018-03-16
ccc318e38d283ad65b9c3f2a2ea87914,3.51,1,-1,2018-03-26,2018-05-09,2018-05-10,5,2018-05-10
ccc318e38d283ad65b9c3f2a2ea87914,6.46,2,-1,2018-06-21,2018-07-24,2018-07-26,5,2018-07-25
ccc318e38d283ad65b9c3f2a2ea87914,13.41,2,0,2018-07-26,2018-08-06,2018-08-08,5,2018-08-07
c1a0c26b8a8fc4f6302d37cc5527c981,7.02,2,-1,2018-03-01,2018-03-23,2018-03-27,5,2018-03-26
90c7ccd01f78c86b075747f68daea139,9.3,2,-1,2018-04-04,2018-04-17,2018-04-19,5,2018-04-18
fe3a3db67d625528c9673f14d4714fb8,7.8,2,-1,2018-02-13,2018-03-02,2018-03-06,5,2018-03-05
fe3a3db67d625528c9673f14d4714fb8,7.11,2,-1,2018-03-06,2018-03-29,2018-04-02,5,2018-03-30
fe3a3db67d625528c9673f14d4714fb8,20.97,2,0,2018-07-02,2018-07-12,2018-07-16,5,2018-07-13
4def9773c1730421494f0aa8c7cd3c94,17.47,3,1,2018-03-06,2018-03-15,2018-03-20,5,2018-03-16
4def9773c1730421494f0aa8c7cd3c94,13.06,2,0,2018-03-26,2018-04-11,2018-04-13,5,2018-04-12
4def9773c1730421494f0aa8c7cd3c94,3.49,1,-1,2018-04-13,2018-05-09,2018-05-10,5,2018-05-10
4def9773c1730421494f0aa8c7cd3c94,10.02,1,0,2018-06-19,2018-07-17,2018-07-18,5,2018-07-18
d06b9764167f1ad0c85f750c818e09c1,9.87,1,0,2018-02-14,2018-03-02,2018-03-05,5,2018-03-05
d06b9764167f1ad0c85f750c818e09c1,9.13,2,0,2018-06-08,2018-07-16,2018-07-18,5,2018-07-17
d06b9764167f1ad0c85f750c818e09c1,11.33,3,2,2018-07-18,2018-07-30,2018-08-02,5,2018-07-31
f98563a19f5da61d29556d51349750ce,32.55,4,2,2018-07-11,2018-07-20,2018-07-26,5,2018-07-23
9ec0c53a6daee20882ff1770e2ee8756,10.01,1,0,2018-03-08,2018-03-30,2018-04-02,5,2018-04-02
9ec0c53a6daee20882ff1770e2ee8756,4.11,1,-1,2018-04-02,2018-04-13,2018-04-16,5,2018-04-16
9ec0c53a6daee20882ff1770e2ee8756,2.63,1,-1,2018-04-18,2018-05-23,2018-05-24,5,2018-05-24
0afb45de768723a38d02c92421cf02e7,3.91,2,-1,2018-02-22,2018-03-05,2018-03-07,5,2018-03-06
0afb45de768723a38d02c92421cf02e7,16.76,3,0,2018-03-07,2018-04-02,2018-04-09,5,2018-04-03
0afb45de768723a38d02c92421cf02e7,6.58,1,-1,2018-04-23,2018-05-23,2018-05-24,5,2018-05-24
0afb45de768723a38d02c92421cf02e7,3.57,1,-1,2018-06-19,2018-07-24,2018-07-25,5,2018-07-25
0afb45de768723a38d02c92421cf02e7,7.49,1,-1,2018-07-30,2018-08-09,2018-08-10,5,2018-08-10
339fda9afe214841af687c69e0fb2371,25.0,3,2,2018-07-11,2018-07-23,2018-07-26,5,2018-07-24
c43e0d9bf80bc2729ef5897f48dcb95d,10.09,1,-1,2018-06-25,2018-07-25,2018-07-26,5,2018-07-26
cdf1855e06861a7a8f1b436f9c0881c0,14.07,2,1,2018-04-19,2018-05-22,2018-05-24,5,2018-05-23
cdf1855e06861a7a8f1b436f9c0881c0,3.94,3,-1,2018-06-19,2018-07-23,2018-07-26,5,2018-07-24
cdf1855e06861a7a8f1b436f9c0881c0,3.6,2,-1,2018-07-26,2018-08-08,2018-08-10,5,2018-08-09
94a1cc7d2ca117d6e085f91edc44b147,12.13,2,0,2018-02-27,2018-03-09,2018-03-13,5,2018-03-12
