brk_end,code,created,date,stage,xt_end,xt_start
,61b1fc8c2e0c32898cc29444121d654f,2018-08-29,2018-08-03,4,2018-08-03,2018-07-18
,57d42826c826c99d4b700bbc49d440c2,2018-08-29,2018-08-29,2,2018-08-29,2018-07-17
,680e953522132664c6804f086ad9af57,2018-08-29,2018-08-29,2,2018-08-29,2018-08-07
,5be767145690c02e8e940fd6c91fd1a1,2018-08-29,2018-08-21,4,2018-08-21,2018-08-02
2018-08-02,5be767145690c02e8e940fd6c91fd1a1,2018-08-29,2018-08-02,6,2018-07-31,2018-07-17
2018-08-24,942fe4b331dd8b1f4474c0c14237af2f,2018-08-29,2018-08-24,6,2018-08-22,2018-08-08
,942fe4b331dd8b1f4474c0c14237af2f,2018-08-29,2018-08-03,4,2018-08-03,2018-07-17
,035ecc477ae724890db242e1b05873a2,2018-08-29,2018-08-29,2,2018-08-29,2018-08-03
,035ecc477ae724890db242e1b05873a2,2018-08-29,2018-08-02,4,2018-08-02,2018-07-20
,f65ea10fcce0b92462a2601997c55546,2018-08-29,2018-08-29,2,2018-08-29,2018-08-13
2018-08-09,f65ea10fcce0b92462a2601997c55546,2018-08-29,2018-08-09,6,2018-08-03,2018-07-24
,3def670715064aefdbb5d497396fdf7c,2018-08-29,2018-08-29,2,2018-08-29,2018-08-02
,3def670715064aefdbb5d497396fdf7c,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,f09cb031830b1ffe5ec7ca437e0cb346,2018-08-29,2018-08-21,4,2018-08-21,2018-08-02
,f09cb031830b1ffe5ec7ca437e0cb346,2018-08-29,2018-07-30,4,2018-07-30,2018-07-19
,8bbb6afff6b1225e96d09dd3afa35fcd,2018-08-29,2018-08-29,2,2018-08-29,2018-08-02
,8bbb6afff6b1225e96d09dd3afa35fcd,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
2018-08-29,b0b6d579638bce671e1e7b94ac9e09d1,2018-08-29,2018-08-29,5,2018-08-28,2018-08-20
,b0b6d579638bce671e1e7b94ac9e09d1,2018-08-29,2018-08-15,4,2018-08-15,2018-08-02
,512c773a1b91149a7b8e076ae1a27c74,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,512c773a1b91149a7b8e076ae1a27c74,2018-08-29,2018-08-01,4,2018-08-01,2018-07-18
,fbb8ee8e4ccaa16a971fccb3fd752ff4,2018-08-29,2018-08-29,2,2018-08-29,2018-08-21
,fbb8ee8e4ccaa16a971fccb3fd752ff4,2018-08-29,2018-08-15,4,2018-08-15,2018-07-19
,c5cbca30e292ba5b7c06997b439aa61d,2018-08-29,2018-08-29,2,2018-08-29,2018-07-18
,284130d37f73a677dd47bd860ae5ac68,2018-08-29,2018-08-29,2,2018-08-29,2018-07-18
,68a0f52177aafbd9f1fc640c4c08916f,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,68a0f52177aafbd9f1fc640c4c08916f,2018-08-29,2018-08-02,4,2018-08-02,2018-07-19
,7e32e0dcf1c19aead4c9ede2e29e3f63,2018-08-29,2018-08-29,2,2018-08-29,2018-07-19
,2d3787a4bc7584aa839456e58aa1b607,2018-08-29,2018-08-29,2,2018-08-29,2018-07-23
,cc1546a42b4c2337232bce836125b3bc,2018-08-29,2018-08-29,2,2018-08-29,2018-07-19
,f259c5783a7283eeeb2094c16164cbd7,2018-08-29,2018-08-29,2,2018-08-29,2018-08-21
2018-08-21,f259c5783a7283eeeb2094c16164cbd7,2018-08-29,2018-08-21,6,2018-08-17,2018-07-18
,4f75cfa5053226d706ce968c350dda33,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,4f75cfa5053226d706ce968c350dda33,2018-08-29,2018-07-27,4,2018-07-27,2018-07-18
,642849ff323e594d68c3799397d93bdc,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,642849ff323e594d68c3799397d93bdc,2018-08-29,2018-07-26,4,2018-07-26,2018-07-17
2018-08-29,c0914de6d868b73047171bef611a19c4,2018-08-29,2018-08-29,5,2018-08-28,2018-08-14
,c0914de6d868b73047171bef611a19c4,2018-08-29,2018-07-27,4,2018-07-27,2018-07-17
,5de95d8068605179484f930bf2b84725,2018-08-29,2018-08-29,2,2018-08-29,2018-08-20
,06bb42e71df0e5472148103c8cdcbdf5,2018-08-29,2018-08-29,2,2018-08-29,2018-07-18
2018-08-17,8ecde29567bb69fbe6f99e7a97a78fc1,2018-08-29,2018-08-17,6,2018-08-16,2018-08-03
,8ecde29567bb69fbe6f99e7a97a78fc1,2018-08-29,2018-07-27,4,2018-07-27,2018-07-18
,c3d04b624e57dabd168a63a52aa5c6df,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,37c132aab14d38d5f1fe0a36880a1945,2018-08-29,2018-08-29,2,2018-08-29,2018-07-18
,62dd41fc6f5a34365786d9fb2083090e,2018-08-29,2018-08-29,2,2018-08-29,2018-08-14
,62dd41fc6f5a34365786d9fb2083090e,2018-08-29,2018-08-02,4,2018-08-02,2018-07-23
,276c27fc425deacc032a4cc9e351feac,2018-08-29,2018-08-29,2,2018-08-29,2018-08-06
,276c27fc425deacc032a4cc9e351feac,2018-08-29,2018-07-31,4,2018-07-31,2018-07-17
,cd389fdb65ec282c0f299ce4089994d3,2018-08-29,2018-08-29,2,2018-08-29,2018-07-17
,8a573a627b4bbd38f703fdd525f36ccf,2018-08-29,2018-08-29,2,2018-08-29,2018-07-17
,db5b56a36b867ba0678ac17d64cbd915,2018-08-29,2018-08-21,4,2018-08-21,2018-07-19
,9391136cbf7666f2d01f31f48ba8a434,2018-08-29,2018-08-29,2,2018-08-29,2018-07-19
,96f5bb4c4b8942cca8c35ab39981d3ef,2018-08-29,2018-08-29,2,2018-08-29,2018-08-21
,96f5bb4c4b8942cca8c35ab39981d3ef,2018-08-29,2018-08-02,4,2018-08-02,2018-07-17
